MYLIP_HUMAN MYLIP
HLTF_HUMAN HLTF
ASB2_HUMAN ASB2
TRI65_HUMAN TRIM65
TANK_HUMAN TANK
FXL19_HUMAN FBXL19
TRI25_HUMAN TRIM25
RNF12_HUMAN RLIM
FZR_HUMAN FZR1
WDHD1_HUMAN WDHD1
TIF1B_HUMAN TRIM28
KCD11_HUMAN KCTD11
NEDD4_HUMAN NEDD4
ZNRF2_HUMAN ZNRF2
RN115_HUMAN RNF115
M3K1_HUMAN MAP3K1
FBXL7_HUMAN FBXL7
TRI13_HUMAN TRIM13
PARP1_HUMAN PARP1
MKRN3_HUMAN MKRN3
BMI1_HUMAN BMI1
TRAF3_HUMAN TRAF3
TBL1X_HUMAN TBL1X
RNF5_HUMAN RNF5
FBXW7_HUMAN FBXW7
FBXL5_HUMAN FBXL5
PRC1_HUMAN PRC1
MKRN1_HUMAN MKRN1
RNF14_HUMAN RNF14
GOLI_HUMAN RNF130
TRI18_HUMAN MID1
CDC20_HUMAN CDC20
PJA2_HUMAN PJA2
FBXW5_HUMAN FBXW5
UBE3C_HUMAN UBE3C
TRAF7_HUMAN TRAF7
HECD2_HUMAN HECTD2
TRI38_HUMAN TRIM38
DTL_HUMAN DTL
TRI46_HUMAN TRIM46
RN128_HUMAN RNF128
KLH11_HUMAN KLHL11
UCHL1_HUMAN UCHL1
TRI26_HUMAN TRIM26
RN135_HUMAN RNF135
CPSF6_HUMAN CPSF6
MAD1_HUMAN MXD1
HSP7C_HUMAN HSPA8
FYN_HUMAN FYN
PCY1A_HUMAN PCYT1A
MDM2_HUMAN MDM2
NUSAP_HUMAN NUSAP1
VGFR1_HUMAN FLT1
STABP_HUMAN STAMBP
BACH1_HUMAN BACH1
CORO7_HUMAN CORO7
TRAF2_HUMAN TRAF2
CSN5_HUMAN COPS5
ITB1_HUMAN ITGB1
FZD5_HUMAN FZD5
SMN_HUMAN SMN1
SPI1_HUMAN SPI1
THOC1_HUMAN THOC1
DUS7_HUMAN DUSP7
P53_HUMAN TP53
PCNP_HUMAN PCNP
E2F1_HUMAN E2F1
AURKB_HUMAN AURKB
GRB2_HUMAN GRB2
ZEB2_HUMAN ZEB2
BASI_HUMAN BSG
VAV_HUMAN VAV1
CHK2_HUMAN CHEK2
BRAT1_HUMAN BRAT1
PIAS3_HUMAN PIAS3
EPAS1_HUMAN EPAS1
TIF1B_HUMAN TRIM28
TLR4_HUMAN TLR4
AXIN1_HUMAN AXIN1
M3K7_HUMAN MAP3K7
UBC9_HUMAN UBE2I
TRAF4_HUMAN TRAF4
STIL_HUMAN STIL
DTL_HUMAN DTL
IRF2_HUMAN IRF2
RD23A_HUMAN RAD23A
NRF1_HUMAN NRF1
CTNB1_HUMAN CTNNB1
TRIM9_HUMAN TRIM9
ACE2_HUMAN ACE2
CD40L_HUMAN CD40LG
CTIP_HUMAN RBBP8
GFAP_HUMAN GFAP
ZBT17_HUMAN ZBTB17
FXR1_HUMAN FXR1
DISC1_HUMAN DISC1
STAP2_HUMAN STAP2
ERG_HUMAN ERG
CDK2_HUMAN CDK2
TNIP2_HUMAN TNIP2
M3K5_HUMAN MAP3K5
SUV91_HUMAN SUV39H1
ZSC21_HUMAN ZSCAN21
TRAF6_HUMAN TRAF6
SP100_HUMAN SP100
PGFRB_HUMAN PDGFRB
ID3_HUMAN ID3
CYGB_HUMAN CYGB
EZH2_HUMAN EZH2
KPCA_HUMAN PRKCA
IKKE_HUMAN IKBKE
PRKDC_HUMAN PRKDC
FACD2_HUMAN FANCD2
H2A1_HUMAN HIST1H2AM
TLE3_HUMAN TLE3
RFA2_HUMAN RPA2
CBLB_HUMAN CBLB
MFN1_HUMAN MFN1
HD_HUMAN HTT
TFAM_HUMAN TFAM
PAF15_HUMAN PCLAF
COP1_HUMAN COP1
RS10_HUMAN RPS10
CCNE2_HUMAN CCNE2
TOPK_HUMAN PBK
PA2G4_HUMAN PA2G4
TGFA_HUMAN TGFA
ZN746_HUMAN ZNF746
PGK1_HUMAN PGK1
MD2L1_HUMAN MAD2L1
DCTN6_HUMAN DCTN6
KS6B1_HUMAN RPS6KB1
SODC_HUMAN SOD1
NBN_HUMAN NBN
HDAC1_HUMAN HDAC1
FANCI_HUMAN FANCI
TNIK_HUMAN TNIK
B2CL1_HUMAN BCL2L1
SCYL1_HUMAN SCYL1
RING2_HUMAN RNF2
NEDD4_HUMAN NEDD4
ARF_HUMAN CDKN2A
KCMB1_HUMAN KCNMB1
TWST1_HUMAN TWIST1
BAG3_HUMAN BAG3
GNAI3_HUMAN GNAI3
RNF12_HUMAN RLIM
POLH_HUMAN POLH
CEBPD_HUMAN CEBPD
KSR1_HUMAN KSR1
H2A2B_HUMAN HIST2H2AB
4EBP1_HUMAN EIF4EBP1
ERRFI_HUMAN ERRFI1
S100P_HUMAN S100P
GPR37_HUMAN GPR37
CKAP2_HUMAN CKAP2
MCM3_HUMAN MCM3
A1AT_HUMAN SERPINA1
IGF1R_HUMAN IGF1R
RIR2_HUMAN RRM2
HDAC3_HUMAN HDAC3
VIME_HUMAN VIM
CNOT4_HUMAN CNOT4
ARRB1_HUMAN ARRB1
RUNX1_HUMAN RUNX1
DPM1_HUMAN DPM1
TARA_HUMAN TRIOBP
MAP1B_HUMAN MAP1B
S10A2_HUMAN S100A2
VGFR2_HUMAN KDR
PROM1_HUMAN PROM1
UCHL1_HUMAN STK36
TRI32_HUMAN TRIM32
IRF5_HUMAN IRF5
TR10B_HUMAN TNFRSF10B
MYPT1_HUMAN PPP1R12A
TGFR2_HUMAN TGFBR2
SODM_HUMAN SOD2
BUB1B_HUMAN BUB1B
TPM4_HUMAN TPM4
MTA1_HUMAN MTA1
TRI31_HUMAN TRIM31
RUNX3_HUMAN RUNX3
RPB7_HUMAN POLR2G
NEMO_HUMAN IKBKG
ID1_HUMAN ID1
CASPA_HUMAN CASP10
NCOA3_HUMAN NCOA3
DVL2_HUMAN DVL2
RACK1_HUMAN RACK1
AAPK1_HUMAN PRKAA1
SIGL7_HUMAN SIGLEC7
ANR50_HUMAN ANKRD50
ZNRF1_HUMAN ZNRF1
BCL6_HUMAN BCL6
RHOC_HUMAN RHOC
DYR_HUMAN DHFR
PPARA_HUMAN PPARA
OCLN_HUMAN OCLN
FBX5_HUMAN FBXO5
TBK1_HUMAN TBK1
MAP1S_HUMAN MAP1S
SNCAP_HUMAN SNCAIP
S10AA_HUMAN S100A10
ITCH_HUMAN ITCH
ARHG7_HUMAN ARHGEF7
CENPF_HUMAN CENPF
CRCM1_HUMAN ORAI1
MIB1_HUMAN MIB1
HIPK2_HUMAN HIPK2
DRD4_HUMAN DRD4
DUS14_HUMAN HIST1H2BJ
SMRD1_HUMAN SMARCD1
AKT1_HUMAN AKT1
OTUL_HUMAN OTULIN
STMN1_HUMAN STMN1
SAS6_HUMAN SASS6
MEFV_HUMAN MEFV
RBM15_HUMAN RBM15
ABC3G_HUMAN APOBEC3G
ITK_HUMAN ITK
RN181_HUMAN RNF181
DDX58_HUMAN DDX58
CHIP_HUMAN STUB1
PER2_HUMAN PER2
SL9A1_HUMAN SLC9A1
AGR2_HUMAN AGR2
XRCC6_HUMAN XRCC6
GDF15_HUMAN GDF15
CCD69_HUMAN CCDC69
SMUF2_HUMAN SMURF2
INAR1_HUMAN IFNAR1
FGD1_HUMAN FGD1
SPN1_HUMAN SNUPN
AKP8L_HUMAN AKAP8L
NICA_HUMAN NCSTN
ERBB2_HUMAN ERBB2
KDM3A_HUMAN KDM3A
SMUF1_HUMAN SMURF1
BAX_HUMAN BAX
TINF2_HUMAN TINF2
CCNA2_HUMAN CCNA2
PDCD4_HUMAN PDCD4
HNRPF_HUMAN HNRNPF
XPO2_HUMAN CSE1L
CD3Z_HUMAN CD247
NDKB_HUMAN NME2
JAG1_HUMAN JAG1
FGFR1_HUMAN FGFR1
STAT1_HUMAN STAT1
MMP1_HUMAN MMP1
TRIB2_HUMAN TRIB2
SDE2_HUMAN SDE2
AKAP1_HUMAN AKAP1
IRF8_HUMAN IRF8
TOPB1_HUMAN TOPBP1
TGFR1_HUMAN TGFBR1
CD5_HUMAN CD5
FES_HUMAN FES
ETV4_HUMAN ETV4
BMPR2_HUMAN BMPR2
TANK_HUMAN TANK
SNX9_HUMAN SNX9
FBX28_HUMAN FBXO28
CDK8_HUMAN CDK8
PALB2_HUMAN PALB2
DAND5_HUMAN DAND5
IKBE_HUMAN NFKBIE
BIRC3_HUMAN BIRC3
DAXX_HUMAN DAXX
HIF1A_HUMAN HIF1A
DUS14_HUMAN DUSP14
XPO1_HUMAN XPO1
KKCC2_HUMAN CAMKK2
HM20B_HUMAN HMG20B
LAPM5_HUMAN LAPTM5
GORS1_HUMAN GORASP1
M3K2_HUMAN MAP3K2
HDAC7_HUMAN HDAC7
C9JYI4_HUMAN KPNA1
WIPI2_HUMAN WIPI2
PD1L1_HUMAN CD274
BUB1_HUMAN BUB1
EGFR_HUAMN EGFR
BMR1B_HUMAN BMPR1B
STK35_HUMAN STK35
FOXO1_HUMAN FOXO1
MK11_HUMAN MAPK11
DPOG1_HUMAN POLG
ZEB1_HUMAN ZEB1
HXK2_HUMAN HK2
SEC20_HUMAN BNIP1
MD13L_HUMAN MED13L
SYVN1_HUMAN SYVN1
IGBP1_HUMAN IGBP1
JAK1_HUMAN JAK1
DLL1_HUMAN DLL1
E2F3_HUMAN E2F3
ABL1_HUMAN ABL1
CDN1B_HUMAN CDKN1B
BIRC5_HUMAN BIRC5
MYB_HUMAN MYB
ARPC3_HUMAN ARPC3
OTUB1_HUMAN OTUB1
RON_HUMAN MST1R
RPAB3_HUMAN POLR2H
IRF1_HUMAN IRF1
DLL4_HUMAN DLL4
CDN1A_HUMAN CDKN1A
TFG_HUMAN TFG
EGLN1_HUMAN EGLN1
DDIT4_HUMAN DDIT4
PK3CG_HUMAN PIK3CG
RIPK1_HUMAN RIPK1
STALP_HUMAN STAMBPL1
SMAD1_HUMAN SMAD1
ULK1_HUMAN ULK1
NFKB1_HUMAN NFKB1
MUL1_HUMAN MUL1
UBP15_HUMAN USP15
RL1D1_HUMAN RSL1D1
SKIL_HUMAN SKIL
KITH_HUMAN TK1
Q8IZG5_HUMAN SS18
ZBT38_HUMAN ZBTB38
DPOLQ_HUMAN POLQ
CCND1_HUMAN CCND1
AN13A_HUMAN ANKRD13A
LIMS1_HUMAN LIMS1
BTK_HUMAN BTK
M3K14_HUMAN MAP3K14
LATS1_HUMAN LATS1
IREB2_HUMAN IREB2
YBOX1_HUMAN YBX1
GDE_HUMAN AGL
ARI2_HUMAN ARIH2
TPX2_HUMAN TPX2
TCAM1_HUMAN TICAM1
CADH1_HUMAN CDH1
EGLN3_HUMAN EGLN3
DUS4_HUMAN DUSP4
BTG2_HUMAN BTG2
RIPK3_HUMAN RIPK3
PARP1_HUMAN PARP1
TAB2_HUMAN TAB2
LNP_HUMAN LNPK
CBX5_HUMAN CBX5
RFA1_HUMAN RPA1
PABP1_HUMAN PABPC1
KDM4A_HUMAN KDM4A
FAF2_HUMAN FAF2
HGS_HUMAN HGS
M4K5_HUMAN MAP4K5
TRAF1_HUMAN TRAF1
LCK_HUMAN LCK
PTN14_HUMAN PTPN14
KIF15_HUMAN KIF15
RN19A_HUMAN RNF19A
DPOD4_HUMAN POLD4
PRPF3_HUMAN PRPF3
TF7L1_HUMAN TCF7L1
HNRPD_HUMAN HNRNPD
KPCI_HUMAN PRKCI
MATK_HUMAN MATK
NTRK1_HUMAN NTRK1
SIAH1_HUMAN SIAH1
MAF_HUMAN MAF
LMNB1_HUMAN LMNB1
CHK1_HUMAN CHEK1
PICAL_HUMAN PICALM
RN168_HUMAN RNF168
RS27A_HUMAN RPS27A
HUWE1_HUMAN HUWE1
PLCE1_HUMAN PLCE1
NKX21_HUMAN NKX2-1
ARF6_HUMAN ARF6
KMT5A_HUMAN KMT5A
ATR_HUMAN ATR
ADRM1_HUMAN ADRM1
RT07_HUMAN MRPS7
CDT1_HUMAN CDT1
1433S_HUMAN SFN
TDG_HUMAN TDG
XIAP_HUMAN XIAP
DEK_HUMAN DEK
FRS2_HUMAN FRS2
SMRCD_HUMAN SMARCAD1
RN220_HUMAN RNF220
RC3H2_HUMAN RC3H2
DCTN1_HUMAN DCTN1
RB_HUMAN RB1
RIR1_HUMAN RRM1
IKBB_HUMAN NFKBIB
F263_HUMAN PFKFB3
RFFL_HUMAN RFFL
NDC80_HUMAN NDC80
CE290_HUMAN CEP290
ING3_HUMAN ING3
SC6A3_HUMAN SLC6A3
GUAA_HUMAN GMPS
IKBA_HUMAN NFKBIA
BIP_HUMAN HSPA5
HCD2_HUMAN RAD51
UBR5_HUMAN UBR5
FADD_HUMAN FADD
ERCC5_HUMAN ERCC5
ARPC5_HUMAN ARPC5
PI51A_HUMAN PIP5K1A
RPB1_HUMAN POLR2A
BRCA1_HUMAN BRCA1
SIR6_HUMAN SIRT6
PJA2_HUMAN PJA2
TRI17_HUMAN TRIM17
KAT2A_HUMAN KAT2A
YES_HUMAN YES1
H2AX_HUMAN H2AFX
UBE3C_HUMAN UBE3C
RNF43_HUMAN RNF43
PSMD9_HUMAN PSMD9
KTHY_HUMAN DTYMK
PAWR_HUMAN PAWR
CSK22_HUMAN CSNK2A2
CCNE1_HUMAN CCNE1
NOTC3_HUMAN NOTCH3
CAPR1_HUMAN CAPRIN1
CDC20_HUMAN CDC20
CEBPA_HUMAN CEBPA
PHB_HUMAN PHB
NFAC2_HUMAN NFATC2
DNM1L_HUMAN DNM1L
XPC_HUMAN XPC
IRAK1_HUMAN IRAK1
RND3_HUMAN RND3
RNF14_HUMAN RNF14
AN13D_HUMAN ANKRD13D
LHX3_HUMAN LHX3
VASP_HUMAN VASP
CD44_HUMAN CD44
PQBP1_HUMAN PQBP1
NFAC1_HUMAN NFATC1
H2AZ_HUMAN H2AFZ
DUS6_HUMAN DUSP6
CP110_HUMAN CCP110
ACK1_HUMAN TNK2
GSTP1_HUMAN GSTP1
AURKA_HUMAN AURKA
SMAD5_HUMAN SMAD5
ICAM1_HUMAN ICAM1
UB2D1_HUMAN UBE2D1
TAL1_HUMAN TAL1
GDIR2_HUMAN ARHGDIB
GNL3_HUMAN GNL3
CASP8_HUMAN CASP8
KPRA_HUMAN PRPSAP1
PIAS2_HUMAN PIAS2
PGAM5_HUMAN PGAM5
TMIG2_HUMAN TMIGD2
TSC2_HUMAN TSC2
SPDYA_HUMAN SPDYA
TF65_HUMAN RELA
DTX2_HUMAN DTX2
TRAF3_HUMAN TRAF3
RARA_HUMAN RARA
TNAP3_HUMAN TNFAIP3
SRC8_HUMAN CTTN
MYBB_HUMAN MYBL2
FBW1B_HUMAN FBXW11
PCNA_HUMAN PCNA
SUZ12_HUMAN SUZ12
DCNL1_HUMAN DCUN1D1
NFL_HUMAN NEFL
IKKB_HUMAN IKBKB
SCNNB_HUMAN SCNN1B
SKP2_HUMAN SKP2
PIAS4_HUMAN PIAS4
BI2L1_HUMAN BAIAP2L1
IF16_HUMAN IFI16
SH3K1_HUMAN SH3KBP1
KSYK_HUMAN SYK
HS90A_HUMAN HSP90AA1
P73_HUMAN TP73
NOL3_HUMAN NOL3
ESR1_HUMAN ESR1
CSF1R_HUMAN CSF1R
RNF8_HUMAN RNF8
TEAD4_HUMAN TEAD4
IMA1_HUMAN KPNA2
SCNNA_HUMAN SCNN1A
MET_HUMAN MET
GSK3B_HUMAN GSK3B
NQO1_HUMAN NQO1
CLUS_HUMAN CLU
PAX3_HUMAN PAX3
RAD18_HUMAN RAD18
RAC1_HUMAN RAC1
PPR3C_HUMAN PPP1R3C
EDAR_HUMAN EDAR
SNAPN_HUMAN SNAPIN
OBF1_HUMAN POU2AF1
DEPD5_HUMAN DEPDC5
IRS1_HUMAN IRS1
IRF7_HUMAN IRF7
MAVS_HUMAN MAVS
NMDE4_HUMAN GRIN2D
FOXP3_HUMAN FOXP3
PDGFA_HUMAN PDGFA
SPRE2_HUMAN SPRED2
ASSY_HUMAN ASS1
RASH_HUMAN HRAS
PRR5L_HUMAN PRR5L
RAP2A_HUMAN RAP2A
M3K11_HUMAN MAP3K11
FUBP2_HUMAN KHSRP
RAD51_HUMAN RAD51
DCPS_HUMAN DCPS
PHF8_HUMAN PHF8
GPX1_HUMAN GPX1
SNAI2_HUMAN SNAI2
TRI50_HUMAN TRIM50
CHD1L_HUMAN CHD1L
ERO1A_HUMAN ERO1A
NUP62_HUMAN NUP62
PAR2_HUMAN F2RL1
PCSK9_HUMAN PCSK9
SPY2_HUMAN SPRY2
MALT1_HUMAN MALT1
SMG5_HUMAN SMG5
HIP1_HUMAN HIP1
VCAM1_HUMAN VCAM1
NOTC1_HUMAN NOTCH1
RECQ4_HUMAN RECQL4
PKD1_HUMAN PKD1
PAR1_HUMAN F2R
SC31A_HUMAN SEC31A
S100B_HUMAN S100B
M3K10_HUMAN MAP3K10
CXCR4_HUMAN CXCR4
PK3CA_HUMAN PIK3CA
BRAP_HUMAN BRAP
LARGN_HUMAN PRR16
CRKL_HUMAN CRKL
HDAC2_HUMAN HDAC2
SIPA1_HUMAN SIPA1
DLL3_HUMAN DLL3
PLK1_HUMAN PLK1
KRT36_HUMAN KRT36
BMI1_HUMAN BMI1
ORC1_HUMAN ORC1
KANK1_HUMAN KANK1
CIP4_HUMAN TRIP10
LAT_HUMAN LAT
ELF4_HUMAN ELF4
TRPV4_HUMAN TRPV4
TRRAP_HUMAN TRRAP
SMAD7_HUMAN SMAD7
DNMT1_HUMAN DNMT1
COR1A_HUMAN CORO1A
SUMO2_HUMAN SUMO2
SQSTM_HUMAN SQSTM1
KDM5C_HUMAN KDM5C
IF5A1_HUMAN EIF5A
RS2_HUMAN RPS2
IFIH1_HUMAN IFIH1
M4K1_HUMAN MAP4K1
NFIP2_HUMAN NDFIP2
EPS8_HUMAN EPS8
LGR5_HUMAN LGR5
ATRN_HUMAN ATRN
ILF3_HUMAN ILF3
F16P1_HUMAN FBP1
ARRB2_HUMAN ARRB2
RUNX2_HUMAN RUNX2
COM1_HUMAN RBBP8
RO52_HUMAN TRIM21
CARM1_HUMAN CARM1
TTF1_HUMAN TTF1
SOCS1_HUMAN SOCS1
CRY1_HUMAN CRY1
JUN_HUMAN JUN
ANXA2_HUMAN ANXA2
NF1_HUMAN NF1
LAP4A_HUMAN LAPTM4A
CLC1B_HUMAN CLEC1B
RBX2_HUMAN RNF7
CDC6_HUMAN CDC6
ACVR1_HUMAN ACVR1
KRR1_HUMAN KRR1
LST8_HUMAN MLST8
LYN_HUMAN LYN
TRI62_HUMAN TRIM62
H2A3_HUMAN HIST3H2A
PAX6_HUMAN PAX6
BIRC2_HUMAN BIRC2
UBE4A_HUMAN UBE4A
TRAF7_HUMAN TRAF7
H2B1J_HUMAN NEK2
CHFR_HUMAN CHFR
LDHA_HUMAN LDHA
CENPR_HUMAN ITGB3BP
MIRO1_HUMAN CDKN1B
SP1_HUMAN SP1
SOCS3_HUMAN SOCS3
FGR_HUMAN FGR
CASP1_HUMAN CASP1
DTX3L_HUMAN DTX3L
DBLOH_HUMAN DIABLO
MYCN_HUMAN MYCN
LAMP2_HUMAN LAMP2
NPM_HUMAN NPM1
CDCP1_HUMAN CDCP1
IFI27_HUMAN IFI27
IMA5_HUMAN KPNA1
BLM_HUMAN BLM
TNR1B_HUMAN TNFRSF1B
OGT1_HUMAN OGT
UB2V1_HUMAN UBE2V1
KI26B_HUMAN KIF26B
SHPS1_HUMAN SIRPA
STA5B_HUMAN STAT5B
UBP5_HUMAN USP5
TAOK3_HUMAN TAOK3
TOP2A_HUMAN TOP2A
RNF4_HUMAN RNF4
RAG1_HUMAN RAG1
XRCC5_HUMAN XRCC5
SI1L2_HUMAN SIPA1L2
ALK_HUMAN ALK
DYRK2_HUMAN DYRK2
RN115_HUMAN RNF115
RPTOR_HUMAN RPTOR
CAD13_HUMAN CDH13
STA5A_HUMAN STAT5A
TRI13_HUMAN TRIM13
PSA7_HUMAN PSMA7
NR1H3_HUMAN NR1H3
JAK3_HUMAN JAK3
GEN_HUMAN GEN1
NONO_HUMAN NONO
SOX6_HUMAN SOX6
IBP2_HUMAN IGFBP2
MPIP3_HUMAN CDC25C
BRE1A_HUMAN RNF20
TNR18_HUMAN TNFRSF18
TLR8_HUMAN TLR8
IRF3_HUMAN IRF3
PLK4_HUMAN PLK4
TERT_HUMAN TERT
RBM39_HUMAN RBM39
RASN_HUMAN NRAS
NIPA_HUMAN ZC3HC1
JKAMP_HUMAN JKAMP
ERBB3_HUMAN ERBB3
TRI38_HUMAN TRIM38
A4_HUMAN APP
NMDZ1_HUMAN GRIN1
Q7Z4L4_HUMAN TNIK
FBH1_HUMAN FBH1
ATMIN_HUMAN ATMIN
Q8TB46_HUMAN ANKRD50
TRI37_HUMAN TRIM37
P63_HUMAN TP63
PLCG1_HUMAN PLCG1
LIMK1_HUMAN LIMK1
2A5E_HUMAN PPP2R5E
ZAP70_HUMAN ZAP70
RHOA_HUMAN RHOA
IFM3_HUMAN IFITM3
MERL_HUMAN NF2
STAT2_HUMAN STAT2
TRIB3_HUMAN TRIB3
LHX2_HUMAN LHX2
BID_HUMAN BID
TBCB_HUMAN TBCB
NRAM2_HUMAN SLC11A2
PELI1_HUMAN PELI1
FLIP1_HUMAN FILIP1
KEAP1_HUMAN KEAP1
